tempo,energy,valence,danceability,acousticness,loudness,cognitive_load_final,productivity
119.976,0.738,0.637,0.721,0.00226,-4.77,2.978330938132611,3.606692329248342
130.096,0.76,0.495,0.512,0.299,-5.889,3.8143790971153138,2.0243526160672536
92.01,0.783,0.799,0.795,0.361,-4.271,3.741499845270231,2.3772513195902727
119.992,0.782,0.655,0.727,0.0563,-8.529,3.0969453357322037,4.201088447805451
115.981,0.624,0.831,0.834,0.0729,-8.565,2.4846889433888686,1.4492536566350689
111.984,0.838,0.79,0.687,0.261,-6.417,2.8710508673039374,1.885939799294531
98.04,0.926,0.968,0.755,0.0823,-4.922,3.6878308621994234,2.210375713407746
74.973,0.951,0.4,0.772,0.0634,-3.375,3.20400650112747,1.2606722067544416
170.814,0.927,0.49,0.215,0.000273,-7.327,1.8435834211364075,6.453292105586585
126.881,0.89,0.421,0.645,0.259,-4.985,3.3753335916675034,2.5899291990924174
119.996,0.516,0.255,0.877,0.215,-5.426,2.3359213790830156,4.429700871596416
136.027,0.711,0.363,0.732,0.12,-6.513,3.2437946705444127,4.477036198993417
100.029,0.788,0.743,0.759,0.0485,-4.776,2.8104012461932513,2.764469700606614
80.61,0.652,0.722,0.52,0.339,-6.655,2.175319516210807,3.393785593999387
189.998,0.694,0.587,0.686,0.253,-3.693,2.7671225069471865,6.686531336694297
98.111,0.747,0.798,0.584,0.105,-4.726,2.5508706830364187,1.9208509906876272
139.923,0.755,0.469,0.786,0.28,-2.827,1.9832822485935353,5.28504498520767
120.114,0.679,0.438,0.715,0.517,-5.263,4.1513592714722325,1.3393899819932154
151.647,0.946,0.747,0.599,0.000938,-4.263,2.8326762801949705,5.813389277151296
108.0,0.911,0.685,0.615,0.0686,-3.584,4.731932115973731,1.5777283962347621
153.514,0.797,0.336,0.231,0.129,-4.699,2.9379412281268893,4.5617446539532285
79.993,0.13,0.321,0.657,0.204,-13.182,2.188938467050308,0.9236396819558119
179.911,0.295,0.722,0.616,0.0461,-10.529,1.9990091383805564,7.173774027969586
109.901,0.87,0.944,0.597,0.0119,-11.97,2.9328330606065744,2.939244069445938
109.988,0.173,0.146,0.359,0.924,-16.974,3.6407227641766577,1.2662139664955663
159.98,0.592,0.4,0.82,0.0149,-7.002,1.5021361684714882,5.555757514734579
80.014,0.332,0.525,0.744,0.478,-15.331,2.240323050761391,2.3390107449442357
124.004,0.807,0.0384,0.778,0.0816,-10.79,4.06835776711695,3.039317850670518
111.996,0.878,0.562,0.839,0.134,-5.279,4.625380257595405,2.2458684055196647
143.937,0.185,0.0399,0.566,0.98,-12.833,2.178887834721548,4.667190735230645
121.985,0.717,0.466,0.793,0.0927,-4.759,2.67875380099944,5.73844456007091
107.747,0.664,0.0949,0.404,0.542,-6.698,1.6551629520072255,3.3761346220096042
97.013,0.854,0.9,0.637,0.323,-5.751,2.0039218628329256,2.7899397806621216
140.649,0.00379,0.192,0.14,0.958,-38.183,3.815546819576412,1.7642978160909926
144.005,0.622,0.644,0.715,0.237,-6.318,4.647964707677504,3.404207656433493
127.568,0.812,0.685,0.691,0.0433,-7.772,2.3961196026370186,5.289196610611276
118.023,0.762,0.259,0.753,0.128,-7.119,4.296599424985754,2.084093002356521
