tempo,energy,valence,danceability,acousticness,loudness
157.969,0.592,0.535,0.521,0.308,-7.777
104.978,0.507,0.438,0.747,0.2,-10.171
108.548,0.808,0.372,0.554,0.214,-4.169
112.966,0.91,0.786,0.67,0.0939,-4.07
149.027,0.783,0.939,0.777,0.0283,-4.477
116.712,0.582,0.785,0.7,0.0502,-5.96
150.069,0.561,0.841,0.669,0.495,-6.538
148.101,0.247,0.126,0.467,0.612,-12.002
94.926,0.416,0.297,0.492,0.686,-10.439
119.973,0.722,0.57,0.769,0.0584,-5.485
130.019,0.667,0.618,0.776,0.0146,-6.622
107.071,0.586,0.579,0.669,0.274,-6.073
104.032,0.806,0.587,0.608,0.121,-3.443
81.012,0.709,0.604,0.722,0.0633,-4.95
139.982,0.757,0.957,0.742,0.0187,-4.981
100.987,0.917,0.501,0.562,0.0513,-2.768
109.939,0.787,0.672,0.734,0.126,-3.951
122.064,0.843,0.746,0.619,0.00948,-5.348
115.94,0.406,0.338,0.53,0.656,-7.507
119.992,0.782,0.655,0.727,0.0563,-8.529
80.09,0.812,0.664,0.505,0.285,-3.986
103.969,0.76,0.69,0.701,0.107,-5.478
116.988,0.725,0.838,0.894,0.00434,-4.984
105.008,0.563,0.343,0.833,0.528,-5.593
119.98,0.628,0.321,0.757,0.189,-6.715
127.986,0.855,0.731,0.638,0.00757,-4.86
117.038,0.62,0.934,0.741,0.0295,-5.505
97.989,0.339,0.457,0.705,0.552,-10.612
112.648,0.651,0.471,0.694,0.496,-6.968
123.994,0.601,0.332,0.635,0.246,-6.129
167.029,0.691,0.703,0.836,0.00586,-4.222
115.842,0.646,0.295,0.645,0.0615,-8.334
105.029,0.471,0.219,0.472,0.151,-5.692
194.055,0.709,0.712,0.744,0.0501,-5.778
167.033,0.904,0.788,0.739,0.549,-2.655
159.92,0.604,0.242,0.561,0.199,-4.409
90.969,0.668,0.64,0.646,0.491,-5.203
128.027,0.668,0.787,0.924,0.446,-6.795
159.982,0.454,0.912,0.689,0.0351,-7.643
192.004,0.386,0.281,0.504,0.502,-10.976
155.079,0.681,0.388,0.56,0.103,-6.304
101.061,0.472,0.214,0.898,0.0107,-7.001
146.921,0.711,0.317,0.487,0.000175,-4.22
91.98,0.712,0.692,0.848,0.221,-3.574
114.933,0.645,0.788,0.882,0.475,-7.233
184.115,0.872,0.806,0.466,0.0156,-3.344
116.034,0.756,0.838,0.66,0.00289,-3.743
147.125,0.508,0.609,0.579,0.00574,-9.484
133.52,0.89,0.259,0.502,0.000147,-5.175
123.596,0.446,0.278,0.743,0.0039,-7.807
91.844,0.43,0.104,0.515,0.0097,-9.935
120.125,0.824,0.539,0.5,0.00016,-5.846
96.483,0.767,0.328,0.592,0.0021,-2.788
125.304,0.952,0.624,0.445,0.09,-5.321
158.691,0.795,0.612,0.464,0.0493,-9.267
120.151,0.492,0.789,0.828,0.0644,-9.744
158.066,0.881,0.364,0.413,5.99e-05,-5.541
94.379,0.716,0.901,0.535,0.326,-5.025
93.503,0.322,0.387,0.475,0.367,-10.687
104.114,0.394,0.721,0.693,0.0782,-15.882
152.445,0.899,0.603,0.475,0.00375,-4.321
85.064,0.943,0.781,0.442,0.00293,-3.205
84.581,0.345,0.458,0.559,0.0576,-13.496
147.193,0.814,0.728,0.673,0.0134,-5.411
127.361,0.767,0.755,0.532,0.00287,-5.509
136.302,0.863,0.931,0.723,0.0383,-7.89
100.456,0.449,0.549,0.486,0.166,-10.298
89.74,0.902,0.422,0.412,0.0484,-11.6
103.886,0.722,0.716,0.55,0.25,-11.729
105.338,0.944,0.265,0.394,0.00178,-6.506
122.093,0.952,0.584,0.398,0.000373,-6.042
171.176,0.917,0.518,0.356,0.0335,-6.006
124.634,0.589,0.254,0.455,0.00184,-8.64
113.253,0.805,0.564,0.438,0.00255,-6.237
189.507,0.239,0.298,0.446,0.551,-13.945
123.118,0.521,0.942,0.721,0.0708,-8.123
129.269,0.67,0.777,0.619,0.00165,-10.322
105.25,0.828,0.562,0.539,0.00067,-9.108
114.965,0.487,0.731,0.73,0.258,-10.991
116.109,0.697,0.774,0.741,0.0664,-7.028
127.215,0.579,0.691,0.62,0.0152,-9.307
116.761,0.912,0.72,0.502,2.55e-05,-4.556
88.785,0.833,0.661,0.466,0.0266,-4.215
164.775,0.376,0.188,0.53,0.0304,-11.913
126.755,0.786,0.793,0.482,0.00321,-5.735
129.802,0.789,0.918,0.674,0.00178,-6.903
81.334,0.441,0.25,0.519,0.0204,-14.178
113.375,0.836,0.82,0.743,0.0804,-6.465
109.975,0.528,0.757,0.932,0.115,-6.472
128.019,0.905,0.411,0.602,0.000202,-4.046
98.883,0.519,0.822,0.653,0.406,-10.164
